ecole,auteur,date,note,contenu,url
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Tangz,06/12/2022,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,UnCroco,06/11/2022,5.0,C'est top !,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Douves4,18/10/2022,4.3,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Anonyme,08/09/2020,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Nicolas,10/07/2020,5.0,Excellent école qui m'a formé et m'a appris beaucoup,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,amn,12/02/2020,5.0,"Formation d'excellence dans de très nombreux domaines, débouchés extrêmement variés, et vie étudiante riche et encouragée par la politique de l'école. Le nombre et la variété des associations étudiantes, sportives, culturelles, artistiques ou scientifiques est aussi un atout majeur dans la formation des ingénieurs ENSTA",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Elève2019,11/02/2020,5.0,"Une très bonne école, tant par son excellence académique que par les débouchés qu'elle offre. Un très bon choix pour celles et ceux qui veulent continuer les sciences après leur CPGE, tout en développant toutes les compétences nécessaires au métier d'ingénieur(e).",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,Zc2000,13/12/2018,5.0,Une formation remarquable à tous points de vue !Qui mériterait d'être encore plus connue du grand public.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,df,08/11/2018,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure De Techniques Avancees 6915,ldb,06/07/2018,5.0,Très bonne école avec excellent formation scientifique et super vie d'asso,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Baptise,15/11/2024,5.0,Ecole excellente avec un cursus académique en phase avec l'industrie française.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,J,05/09/2024,1.8,"École décevante et à fuir. Ne prend pas en compte le bien-être et la réussite de ses élèves. Seul ceux qui viennent de prépa ont des chances de ne pas en pâtir dans cette école, mais c'est certainement pas lié à la qualité de leurs enseignements mais grâce à votre cursus passé. Et rassurez-vous car y'a des cas inédits : vous pouvez littéralement sécher l'année entière et quand même avoir votre année sans que ça n'affecte quoi que ce soit. Et une règle débile qu'ils ont : il faut avoir 10 à chaque matière sinon vous redoublez, ils peuvent vous gâcher la vie assez facilement. Il n'existe pas de compensation par d'autres matières. Une perte de temps, si j'avais su je n'aurais jamais mis les pieds là-bas.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Anonyme,20/06/2024,5.0,Très très bonne école,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Anonyme,18/06/2024,2.3,"Très décevant sur de nombreux aspects.- Obnubilé par les classements, le niveau académique est bien bas.- Avec un taux de diplômés qui poursuivent en thèse de 5 % ( l'un des plus bas des écoles généralistes ), l'école ne donne pas du tout envie d'étudier et dégoute même une grande partie des étudiants internationaux en échange.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Ramy Al Heib,10/12/2023,5.0,"Éleve ingénieur de 2013 à 2016. C'est une école moderne, avec une formation de qualité dans des promotions à taille humaine. Le campus est assez génial et on s'y sent bien.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Clement,11/01/2023,4.8,"Une superbe école, conforme aux attentes",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Amine_maft,02/10/2022,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Bours,29/10/2021,5.0,"Très bon débouchés professionnels, de très partenariat.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,FlorentCurtet,27/07/2021,4.8,"Excellente école.Différente des autres business school, c'est clair. On est plongé dans un mélange d'ingénierie et d'entrepreneuriat.Je recommande très chaudement cette super école. J'ai commencé à 40K, je suis aujourd'hui (5 ans plus tard) à 84K. CQFD.Il ne manque plus qu'une chaire cybersécurité pour devenir vraiment l'école #1 sur son temps.Le seul moins  qui me vient à l'esprit (en tout cas lorsque j'y étais), c'était le local BDE qui méritais une refonte.Sinon A+++",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,ND_Ben,23/06/2020,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Jimmy,09/05/2020,5.0,Excellente école avec des professeurs pédagogues et des débouchés intéressante.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Loliipos,03/03/2020,4.5,"Excellente école largement sous-estimée avec un rapport qualité-prix imbattable (totalement gratuite pour les boursiers, sinon ~6000 euros/an avec possibilité d'alternance dès le master 1). L'école est largement reconnue pour ses spécialisations et débouchés dans les systèmes d'information et les métiers du numérique. Les locaux sur Evry sont sûrement le point faible de l'école mais de nouveaux campus tout neufs ouvrent au fur et à mesure.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Tenam,29/01/2020,5.0,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Phil,29/01/2020,4.8,Combinaison unique de compétences business et ingénierie avec un corps professoral présent dans les deux écoles. Très bons débouchés.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,viiiloo,20/05/2019,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,ublz,24/12/2018,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Awardhoax,24/12/2018,4.5,Une bonne école qui monte dans les classements. Il y a une bonne ambiance au sein du campus. Celui-Ci est vraiment accessible et permet de nombreuses activités. Les cours sont intéressants et permettent de vraiment s'améliorer dans le domaine qui nous passionne. La vraiest force de IMT Atlantique est sa nouvelle formation issue de la fusion car le programme ( fait avec les entreprises) garantit des compétences et une reconnaissance immédiate dans les monde professionnel.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,FrankB75,19/09/2018,4.3,"Une école qui mériterait d'être reconnue à sa juste valeur. Elle est reconnue sur le marché de l'emploi, notamment dans le secteur des TIC. Le ratio entre les frais de scolarité (6350€ - les plus bas de toutes les écoles de management) et le salaire brut moyen de sorti (à plus de 40k) est tout simplement imbattable.L'école possède de nombreuses associations et une vie de campus riche. L'enseignement y est de qualité et le choix des parcours diversifié. Sa spécificité liée à la révolution digitale en fait une école différente et différentiable des autres. De plus, sa proximité avec l'école d'ingénieur Télécom SudParis permet une mixité des profils lors des cours et dans la vie de tous les jours.Enfin, son seul point faible est sa situation géographique (Evry - 91). Ce dernier est à relativiser car on bénéficie du dynamisme du bassin parisien en matière de recherche de stages et d'emploi.Une école différente, reconnue et audacieuse dans sa proposition de parcours. Un must.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,AdrienL,26/07/2018,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,AdrienK,08/03/2018,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,ublz,18/02/2018,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Tyslo,07/02/2018,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,patapoum,03/02/2018,4.3,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,robindavid,25/01/2018,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,benoitf,16/11/2017,5.0,"Très bonne école généraliste, formation de qualité, de très belle perspective (semestre à l'étranger, césure, stage...), de très belles perspectives d'avenir après cet école que ca soit en entreprise ou en poursuite de thèse!",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,benoitf,16/11/2017,5.0,"Très bonne école, bonne ambiance, beaucoup d'opportunités et de belles perspectives d'avenir. Cela restera 3 belles années de formations!",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,blaster,09/11/2017,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,Mprr,14/09/2017,5.0,"C'est une très bonne école, qui offre beaucoup d'opportunités à ses élèves, en plus d'une bourse sur critères sociaux. Je suis plus que satisfait de mon choix après fin de mon Master.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,J.heinis,09/07/2017,5.0,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,yiha,05/05/2017,4.5,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Ecole Nationale Superieure Mines Telecom Atlantique Bretagne Pays De La Loire 5200,demeter,18/04/2017,4.5,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Victor,21/06/2024,4.8,"Cours très diversifiés, vie associative riche, large choix de spécialisations. Accès à des doubles diplômes dans les meilleures universités au monde (Harvard, MIT, ETHZ, Tsinghua, ...). Plusieurs offres de CDI avant la sortie de l'école. Campus assez moyen. Possibilité de faire de la recherche, de l'entrepreneuriat. Une des meilleure école pour faire du consulting en stratégie (McKinsey, BCG, Bain), ou de l'audit (EY, Deloitte, KPMG et PwC) ou de la finance (BNP Paribas, CA, BPCE, Société Générale).",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Thomas,18/12/2021,5.0,"Excellente école d'ingénieurs généralistes, très bon suivi des élèves.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Mima,17/12/2021,4.5,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Tarek,12/04/2021,5.0,"Très bonne expérience à cette école ! Franchement, si vous cherchez une école avec de l'excellence académique, une vie associative géniale, une grande ouverture à l'internationale et une reconnaissance nationale par les plus grandes entreprises , cette école est pour vous. Très bon suivis par l'école également. Le nouveau cursus est très riche également avec un très grand choix de cours(électifs)",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Tarek,18/03/2021,5.0,"Très bonne expérience à cette école ! Franchement, si vous cherchez une école avec de l'excellence académique, une vie associative géniale, une large ouverture à l'internationale et une reconnaissance nationale par les plus grandes entreprises , cette école est pour vous. Très bon suivis par l'école également. Le nouveau cursus est très riche également avec un très large choix de cours(électifs)",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Jheess,15/02/2021,5.0,Excellence,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Baptiste M,13/01/2021,4.5,Super formation.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,queen,21/10/2020,5.0,"Excellente école, rejoignez JCS, meilleure Junior-Entreprise d'Europe",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Fahd,05/09/2020,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,etudiant,26/02/2020,5.0,"Excellente école, large spectre de cours proposés, très bon niveau scientifique, insertion professionnelle facile, et vie associative vraiment riche",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,BlueDrey,12/02/2020,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,dab,06/12/2018,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,PR,14/11/2018,5.0,"Une formation intensive, reconnue par les professionnels du secteur d'activité. Une très bonne émulation liée en grande partie à la qualité des enseignants et à la diversité des profils des camarades (inscrits par formation initiale ou professionnels en reconversion).",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,bh,06/09/2018,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,vietnamieseneo,22/12/2017,5.0,i'm very proud of having studied here.Today i work in energy research in my country.CS was a an amazing part of my life.,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Li,08/12/2017,5.0,great school for maths and computer science,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Centralesupelec Cursus Ingenieur Supelec 7696,Skemi,07/03/2017,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-centralesupelec-cursus-ingenieur-supelec-7696.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,Philippe,26/08/2024,4.0,"J'ai choisi l'ecole des Mines de Nancy parce que a l'epoque, c'etait la seule qui enseignait l'entreprenariat. Nous avons cree une radio libre et le forum Mines Avenir qui est devenu ensuite Est Horizons. Les programmes etaient aussi tres bien integres avec la recherche de l'epoque qui etait tres avance en materiaux et transformation de la matiere.",https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,Fulbert,04/04/2023,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,paul,10/02/2023,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,Paul,06/02/2021,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,ThéoDoub,05/09/2019,4.8,Bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,smile,25/03/2019,5.0,Très bonne expérience,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
Etablissement Ecole Nationale Superieure Des Mines De Nancy 5518,NEMAUSUS,27/02/2018,5.0,Très bon enseignement de haut niveauDe nombreuses possibilités d'échanges avec des universités étrangères de très haut niveau,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-nancy-5518.html
