auteur,date,note,contenu
Irty,05/06/2019,1.0,Décu par hetic qui se permet de facturer des années à 7k euros pour au final avoir des professeurs absents et des cours annulés. On est en juin et je dirais que seulement 40% du programme écrit sur leur site web s'est réalisé
LD,21/05/2019,1.3,Très mauvaise expérience
SamuBendou,16/05/2019,4.3,"Ancien étudiant de l'école, j'ai intégré Hétic après mon DUT MMI à la recherche d'une grande école dans le digital et d'un réseau. J'ai été très satisfait de mes 3 ans dans l'école. Je garde un souvenir impérissable des interventions de Rémi Bataille et François Pumir, pour leur pédagogie et d'avoir su rendre leurs cours passionnants. Les semaines intensives, les projets avec des clients et mon alternance en 5ème année m'ont finalement permis d'être opérationnel dès ma sortie de l'école."
eleonore P.,16/05/2019,4.8,"Une bonne école, à taille humaine et chaleureuse, ou mon fils a pu s'epanouir. Diplomé en 2019, il occupe déjà un poste à responsabilités. La remise des diplômes m'a fait conscience que cette ce que de jeunes gens occupaient des postes très divers qui semblent les passionner. Et cela est bien le principal !"
Lucas,09/05/2019,4.5,Bonne expérience
Swodniw,03/05/2019,1.3,Très mauvaise expérience
vickty,10/04/2019,1.0,Ecole dirigée par le groupe studialis qui a pas hésité une seule seconde à éjecter tout le personnel suite à de nombreux dysfonctionnements constatés et un échec cuisant de la promo !!
Ron P,27/03/2019,4.5,Super école !
lapinrouge,21/03/2019,2.8,Mauvaise expérience
Kelly,14/03/2019,1.0,"Programme inexistant au tarif plein ! Cherchez ailleurs. Ce n'est pas un conseil, mais une obligation !"
ChevalierRime46,13/03/2019,4.5,Bonne expérience
Max,09/03/2019,3.8,Expérience moyenne
Lou Lou,08/03/2019,4.5,"HETIC a changé ma vie après des études de droits a la fac, d'autant plus avec la nouvelle direction qui a pris en main l'école depuis quelques mois. Il y a une energie particuliere a HETIC qui nous pousse a donner le meilleur de nous meme. Actuellement en dernier année et en alternance, je me prepare a integrer le marché du travail en confiance car j'ai autant acquis des competences techniques qu'humaine pour y trouver ma place. Comme toute les ecoles ce n'est pas parfait, mais on voit en quelques semaines de nombreuses ameliorations d'un point de vue organisationnel et humain. Vous voulez participer au changement de demain ? HETIC vous donne toutes les cles pour y participer avec sens, curiosité, competence et engagement."
Jean,25/01/2019,1.5,Très mauvaise expérience
jpbouchard,13/01/2019,1.3,Très mauvaise expérience
CPGE16-17,05/01/2019,4.5,Établissement sérieux. Cours plus complets que dans d'autres écoles du Web. Je me sens beaucoup plus épanouie.
massi006,03/12/2018,4.8,Bonne expérience
david,03/11/2018,5.0,Très bonne expérience
Kiwi,07/10/2018,1.3,Très mauvaise expérience
PN,05/10/2018,1.3,"6000 euros l'année en moyenne pour une école qui ne débouche sur rien de plus que ces ""contacts"", déçu par ces ""intervenants"" n'étant pour la plupart que des ""connaissances"" du corps supérieur.Le matériel est absent, le service de logement est inexistante, l'ambiance est celle de gossip girl rempli d'hypocrite et de personne prêtes à vous écrasez pour une note supérieur, l'équipe éducative est pauvre et pour la plupart incompétente, la bibliothèque est une blague en elle même, l'orientation ne débouche sur rien, les job stage et alternance sont donner au personnes les plus proches des ""intervenants"" et le reste doit compté sur la ""réputation"" inexistence pour se faire une place en entreprise.Sans parler du fait que l'équipe de communication est dédier à éliminé toutes nuisances de mauvaise publicités sur internet n'empêchant pas des étudiants de tomber dans le panneau d'une école vide de formations et de compétences à 6000 euros l'année.(une dizaine d'avis google négatif supprimé et une mauvaise foi constante présente concernant les réponses négative)Pour résumer; Chère, aucune déboucher, aucune connaissances enseigné.Une belle arnaque déguisé."
guitya,01/10/2018,2.0,Les  accompagnements ne sont pas là  pour tout le monde seule la grande école compte.Pas d humanité un étudiant est un numéro
ChevalierRime46,12/09/2018,5.0,Magnifique école !
Édouard,07/09/2018,4.3,"En tant que parent inquiet pour l'avenir de ses enfants, de nombreuses questions m'ont traversé l'esprit lors de mes recherches d'écoles comme l'assurance d'un diplôme reconnu, de trouver un métier à la sortie avec un salaire décent et un environnement de travail sain.Lorsque ma fille m'a parlé de l'école Hetic, j'ai pu découvrir une équipe très à l'écoute et pédagogue sur l'ensemble de mes questions. Très étonné d'ailleurs qu'il est prit le temps de me recevoir et j'ai pu être soulagé de constater qu'elle est en mesure d'assurer l'employabilité de ses élèves à la sortie d'étude, en vue des futurs diplômés avec qui j'ai pu m'entretenir.Ma fille ne tarie d'éloge sur sa nouvelle vie d'étudiante ou ""la rigueur et le dépassement de soi sont de mises"" comme elle me le répète souvent ! Cela fait maintenant un an qu'elle étudie dans cette école, elle est jusqu'à présent ravie et donc moi aussi !"
MuroD,14/08/2018,5.0,"HETIC est un excellent tremplin pour celui qui veut évoluer dans le numérique. La palette des cours est très large et ouvre de nombreux horizons et offre de belles opportunités professionnelles à celui qui se donne les moyens de les saisir. Cette école n'est pas faite pour celui qui se place comme consommateur et attend que l'école fasse tout à sa place. Durant mon parcours, j'ai pu découvrir de nombreux aspects techniques, travailler sur de gros projets gouvernementaux aussi bien que sur des petits projets humanitaires. J'ai effectué mes stages dans des agences et des PME pour finalement être embauché dès la sortie chez Adobe à un poste lié au marketing. Après quelques années d'expérience, je travaille maintenant pour un des géants du Web."
Jacques B.,13/08/2018,4.8,Mon fils y est très heureux et c'est agréable de le voir être accepté dans tous les stages auxquels il postule alors que les postes ne sont pas pour des juniors.
isa,01/08/2018,1.8,Très mauvaise expérience
Lulu,30/07/2018,2.3,Mauvaise expérience
Lucas,16/04/2018,4.8,"Ecole fantastique, on y apprend tous les jours les professeurs sont supers, l'ambiance est stimulante et on a envie d'y travailler et de se donner à fond dans ses projets, je recommande"
Quentin,15/02/2018,5.0,Très bonne expérience
Wladouche,14/01/2018,5.0,Une école de grande qualité. Des cours où nous sommes accompagnés et guidés vers un savoir faire et un savoir être unique en France !
Martinez,03/01/2018,4.8,Des étudiants passionnés et passionnants
Ronaxan,12/12/2017,4.8,Excellent établissement qui mérite une réputation à la hauteur des grandes écoles françaises
PierreD,08/12/2017,4.8,Bonne expérience
marina_frdt,18/11/2017,4.8,Bonne expérience
STONEISLANDBOY,14/11/2017,1.5,"Je ne me suis jamais aussi peu senti à ma place, cette école est remplie de personne exécrable et le corps enseignant est totalement incompétent. Elle est remplit de gosse de riche persuadé de vivre dans un épisode de Gossip Girl. En arrivant, j'ai vite compris que je pourrais jamais me sentir à ma place dans cette école. Si jamais vous vouliez aller à HETIC, n'y allez pas et faites une autre école européenne des métiers de l'internet."
szj00000000,25/07/2017,5.0,Bonne école.
Kemetos,21/07/2017,4.5,Bonne expérience
Olivierkda,30/06/2017,5.0,Excellente école
ul,21/05/2017,5.0,Cette école n'est pas parfaite mais elle est très surement meilleure que la plupart des autres écoles
iguhjkl,29/04/2017,5.0,Très bonne expérience
Leslie1996,27/03/2017,4.3,Bonne expérience
Dalihazgui,27/03/2017,5.0,Très bonne expérience
antoinemonni,27/03/2017,4.5,Très bonne école
MargauxC,26/03/2017,4.0,"Après 3 ans d'école de commerce, dessus par le manque de cours sur le digital j'ai décidé de changer d'école et me suis retrouvée à HETIC. Quelle bonne décision ! Je ne regrette pas ! Les élèves y sont passionnés travailleurs et exigeants, les projets pédagogiques sont une réelle introduction au monde professionnel et il y a une réelle envie de rendre le programme actuel. Certains vous dirons que l'école est loin d'être parfaite et c'est bien le cas mais pour une école aussi jeune Hetic est clairement en avance sur son temps et offre une prestation bien supérieur à celle de ses concurrents.J'ai réussi à m'épanouir à Hetic et a trouver ma voie."
Emma P,06/03/2017,5.0,"Diplômée de la promotion 2013, j'ai eu l'occasion de tester d'autres écoles avant d'y venir, le verdict est sans appel : HETIC est la seule école qui m'a permis de me tester et de me vendre sur tous les corps de métiers liés au web. J'ai effectué des stages en tant que dev web, DA, ux/ui designer, chargée de com, motion designer, ...Aujourd'hui je suis responsable com/marketing et je me dirige vers le management d'équipe. J'ai aussi la chance de me faire débaucher par d'autres entreprises en vue de mon profil.Soyons clair, il vous sera tout à fait possible de vous instruire en autodidacte ou à travers des cours en ligne, mais ce qui fait la force d'HETIC n'est pas au programme : c'est avant tout une aventure humaine incroyable ! On ne peut rester indifférent à ce que l'école nous inculque et cela va bien au-delà de son enseignement ; les intervenants sont de qualité et à l'écoute, le staff est ouvert et toujours disponible, l'ambiance startup crée une émulation bénéfique à sa propre ascension professionnelle.En résumé, aucune école n'est parfaite certes, mais HETIC reste celle qui s'en rapproche le plus à mes yeux ; une école humaine et chaleureuse qui tient ses promesses."
joël,06/03/2017,5.0,Très bonne école
azerty,04/03/2017,4.3,Bonne expérience
EA,04/03/2017,4.5,Bonne expérience
ImIIM,02/03/2017,5.0,Très bonne expérience
Dorian C,23/02/2017,5.0,"HETIC est l'établissement de référence pour tout étudiant ou lycéen passionné de web. Je suis moi-même diplômé de la promotion 2016.Arrivé en troisième année, j'ai pu apprendre toutes les connaissances théoriques et pratiques pour me démarquer en milieu professionnel. À HETIC, chacun suit un tronc commun et se spécialise au travers des projets et des stages. Ce sont ces derniers qui vous feront progresser dans votre expertise, et surtout grandir.Si vous aimez voyager, vous aurez également l'occasion de partir à l'étranger, comme j'ai pu le faire lors de mon stage de 6 mois à New-York en quatrième année.Être héticien est une belle aventure que je recommande fortement. La mienne s'est terminée par une alternance et une embauche directe à la fin de mon cursus. Je suis actuellement ingénieur web dans une start-up parisienne."
Alexandre D,17/02/2017,4.8,"Vraiment peu de choses à reprocher à cette école, et aucun regret d'y avoir fait mes 5 ans. C'est en sortant ou en mettant le pied dehors (stages, alternances, conférences, mouvement des Junior-Entreprises...) qu'on se rend compte de la valeur de cette école. L'administration fait de son mieux pour être au plus proche des élèves et les écouter. La diversité des cours, des projets, le rythme ... tout cet ensemble est réellement formateur. Si c'était à refaire, je n'hésiterai pas."
Rintintin,16/02/2017,1.3,Très mauvaise expérience
Gabrielle,30/01/2017,1.0,Très mauvaise expérience
